Date,Actual_Sales,Predicted_Sales
2016-11-08,261.96,223.69493195555518
2016-11-08,731.94,731.7296388888908
2016-06-12,14.62,14.612315610035761
2015-10-11,957.5775,795.4027544444443
2015-10-11,22.368,40.86524935285222
2014-06-09,48.86,48.28395973191703
2014-06-09,7.28,9.659007613044103
2014-06-09,907.152,908.3425586666681
2014-06-09,18.504,18.428042996715998
2014-06-09,114.9,116.83447085359114
2014-06-09,1706.184,1143.7777000000033
2014-06-09,911.424,915.8590211908432
2017-04-15,15.552,15.788454789330647
2016-12-05,407.976,408.3857196825382
2015-11-22,68.81,53.49882003174589
2015-11-22,2.544,2.7651000444001266
2014-11-11,665.88,570.3535853664919
2014-05-13,55.5,84.38377316865244
2014-08-27,8.56,8.530645713227297
2014-08-27,213.48,141.4433867478723
2014-08-27,22.72,22.242937923329535
2016-12-09,19.46,17.999745219597475
2016-12-09,60.34,58.524645916349364
2017-07-16,71.372,102.85903897412462
2015-09-25,1044.63,1044.6300000000035
2016-01-16,11.648,13.012037184177824
2016-01-16,90.57,86.51974768511282
2015-09-17,9.618,9.302545043320077
2015-09-17,124.2,115.89539901167625
2015-09-17,3.264,5.914419974297761
2015-09-17,86.304,75.75882458457569
2015-09-17,6.858,7.982264731318758
2015-09-17,15.76,18.451437815317522
2017-10-19,29.472,27.907979781909987
2016-12-08,1097.544,1096.547833015869
2016-12-08,190.92,190.91999999999877
2015-12-27,113.328,104.2449371965529
2015-12-27,532.3992,410.03684186443087
2015-12-27,212.058,259.86727529207525
2015-12-27,371.168,448.6110675283344
2017-09-10,147.168,158.43829726562277
2016-07-17,77.88,84.98240748495046
2017-09-19,95.616,84.84457417105462
2016-03-11,45.98,48.384270252882494
2016-03-11,17.46,18.165883852983377
2014-10-20,211.96,203.7992396543521
2016-06-20,45.0,34.203374422666876
2016-06-20,21.8,36.97369887869356
2015-04-18,38.22,38.83090290682896
2015-04-18,75.18,74.80302897943548
2015-04-18,6.16,10.164858397787162
2015-04-18,89.99,90.13738333333383
2016-12-11,15.26,16.033707537150516
2016-12-11,1029.95,1028.380597380958
2016-06-17,208.56,217.20864109328133
2016-06-17,32.4,32.87237684850674
2016-06-17,319.41,329.2710792843934
2016-06-17,14.56,14.829762798302243
